date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:49	69495/69495	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:04%20GMT	https://freebw.com/templates/royate/index-5.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/index-5.html	(from https://freebw.com/templates/royate/index.html)
17:24:49	75821/75821	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:04%20GMT	https://freebw.com/templates/royate/index-6.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/index-6.html	(from https://freebw.com/templates/royate/index.html)
17:24:50	47944/47944	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:05%20GMT	https://freebw.com/templates/royate/index-7.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/index-7.html	(from https://freebw.com/templates/royate/index.html)
17:24:50	47772/47772	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:07%20GMT	https://freebw.com/templates/royate/index-8.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/index-8.html	(from https://freebw.com/templates/royate/index.html)
17:24:50	26991/26991	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:07%20GMT	https://freebw.com/templates/royate/index-9.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/index-9.html	(from https://freebw.com/templates/royate/index.html)
17:24:51	43060/43060	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:07%20GMT	https://freebw.com/templates/royate/index-10.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/index-10.html	(from https://freebw.com/templates/royate/index.html)
17:24:51	70812/70812	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:09%20GMT	https://freebw.com/templates/royate/index-11.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/index-11.html	(from https://freebw.com/templates/royate/index.html)
17:24:51	60517/60517	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:10%20GMT	https://freebw.com/templates/royate/index-12.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/index-12.html	(from https://freebw.com/templates/royate/index.html)
17:24:52	47522/47522	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:10%20GMT	https://freebw.com/templates/royate/index-13.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/index-13.html	(from https://freebw.com/templates/royate/index.html)
17:24:53	79518/79518	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:12%20GMT	https://freebw.com/templates/royate/index-14.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/index-14.html	(from https://freebw.com/templates/royate/index.html)
17:24:53	63203/63203	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:13%20GMT	https://freebw.com/templates/royate/index-15.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/index-15.html	(from https://freebw.com/templates/royate/index.html)
17:24:53	30020/30020	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:32:47%20GMT	https://freebw.com/templates/royate/about-us.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/about-us.html	(from https://freebw.com/templates/royate/index.html)
17:24:54	28426/28426	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:32:55%20GMT	https://freebw.com/templates/royate/contact-us.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/contact-us.html	(from https://freebw.com/templates/royate/index.html)
17:24:54	23307/23307	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:32:54%20GMT	https://freebw.com/templates/royate/coming-soon.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/coming-soon.html	(from https://freebw.com/templates/royate/index.html)
17:24:54	29715/29715	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:32:59%20GMT	https://freebw.com/templates/royate/gallery-three-columns.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/gallery-three-columns.html	(from https://freebw.com/templates/royate/index.html)
17:24:55	31118/31118	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:32:58%20GMT	https://freebw.com/templates/royate/gallery-four-columns.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/gallery-four-columns.html	(from https://freebw.com/templates/royate/index.html)
17:24:55	28560/28560	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:32:58%20GMT	https://freebw.com/templates/royate/gallery-three-columns-wide.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/gallery-three-columns-wide.html	(from https://freebw.com/templates/royate/index.html)
17:24:55	31060/31060	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:32:57%20GMT	https://freebw.com/templates/royate/gallery-four-columns-wide.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/gallery-four-columns-wide.html	(from https://freebw.com/templates/royate/index.html)
17:24:56	27806/27806	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:15%20GMT	https://freebw.com/templates/royate/masonry-grid.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/masonry-grid.html	(from https://freebw.com/templates/royate/index.html)
17:24:56	27691/27691	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:15%20GMT	https://freebw.com/templates/royate/masonry-wide.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/masonry-wide.html	(from https://freebw.com/templates/royate/index.html)
17:24:56	27794/27794	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:18%20GMT	https://freebw.com/templates/royate/project.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/project.html	(from https://freebw.com/templates/royate/index.html)
17:24:57	33052/33052	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:15%20GMT	https://freebw.com/templates/royate/meet-the-chefs.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/meet-the-chefs.html	(from https://freebw.com/templates/royate/index.html)
17:24:57	21781/21781	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:32:25%20GMT	https://freebw.com/templates/royate/404.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/404.html	(from https://freebw.com/templates/royate/index.html)
17:24:57	44697/44697	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:18%20GMT	https://freebw.com/templates/royate/menu.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/menu.html	(from https://freebw.com/templates/royate/index.html)
17:24:58	28217/28217	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:18%20GMT	https://freebw.com/templates/royate/reservation_v1.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/reservation_v1.html	(from https://freebw.com/templates/royate/index.html)
17:24:58	29165/29165	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:20%20GMT	https://freebw.com/templates/royate/reservation_v2.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/reservation_v2.html	(from https://freebw.com/templates/royate/index.html)
17:24:58	32617/32617	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:32:49%20GMT	https://freebw.com/templates/royate/blog-masonry.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/blog-masonry.html	(from https://freebw.com/templates/royate/index.html)
17:24:59	35077/35077	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:32:48%20GMT	https://freebw.com/templates/royate/blog-masonry-wide.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/blog-masonry-wide.html	(from https://freebw.com/templates/royate/index.html)
17:24:59	36885/36885	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:32:53%20GMT	https://freebw.com/templates/royate/blog-standard-right-sidebar.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/blog-standard-right-sidebar.html	(from https://freebw.com/templates/royate/index.html)
17:24:59	37056/37056	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:32:51%20GMT	https://freebw.com/templates/royate/blog-standard-left-sidebar.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/blog-standard-left-sidebar.html	(from https://freebw.com/templates/royate/index.html)
17:25:00	32013/32013	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:32:51%20GMT	https://freebw.com/templates/royate/blog-standard-no-sidebar.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/blog-standard-no-sidebar.html	(from https://freebw.com/templates/royate/index.html)
17:25:00	38870/38870	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:32:50%20GMT	https://freebw.com/templates/royate/blog-single.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/blog-single.html	(from https://freebw.com/templates/royate/index.html)
17:25:00	44349/44349	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:23%20GMT	https://freebw.com/templates/royate/shop-list.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/shop-list.html	(from https://freebw.com/templates/royate/index.html)
17:25:01	38744/38744	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:26%20GMT	https://freebw.com/templates/royate/shop-three-column.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/shop-three-column.html	(from https://freebw.com/templates/royate/index.html)
17:25:01	38641/38641	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:25%20GMT	https://freebw.com/templates/royate/shop-three-column-wide.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/shop-three-column-wide.html	(from https://freebw.com/templates/royate/index.html)
17:25:01	42547/42547	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:23%20GMT	https://freebw.com/templates/royate/shop-four-column.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/shop-four-column.html	(from https://freebw.com/templates/royate/index.html)
17:25:02	42552/42552	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:21%20GMT	https://freebw.com/templates/royate/shop-four-column-wide.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/shop-four-column-wide.html	(from https://freebw.com/templates/royate/index.html)
17:25:02	30120/30120	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:20%20GMT	https://freebw.com/templates/royate/shop-cart.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/shop-cart.html	(from https://freebw.com/templates/royate/index.html)
17:25:02	36972/36972	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2004:33:23%20GMT	https://freebw.com/templates/royate/shop-single.html	F:/Sunny's%20Documents/Restaurant_demo_3rd/freebw.com/templates/royate/shop-single.html	(from https://freebw.com/templates/royate/index.html)
